Starttime,Endtime,Hall,Production
2006-10-05 22:00:00,1970-01-01 00:00:00,Balzaal,5609
2006-10-05 23:00:00,1970-01-01 00:00:00,Concertzaal,5523
2006-10-06 06:06:00,1970-01-01 00:00:00,Ticketbalie,5703
2006-10-06 20:00:00,1970-01-01 00:00:00,Theaterzaal,5525
2006-10-07 06:06:00,1970-01-01 00:00:00,Ticketbalie,5703
2006-10-07 20:00:00,1970-01-01 00:00:00,Theaterzaal,5525
2006-10-07 22:00:00,1970-01-01 00:00:00,Balzaal,5691
2006-10-07 23:00:00,1970-01-01 00:00:00,Concertzaal,5689
2006-10-08 06:06:00,1970-01-01 00:00:00,Café,5589
2006-10-08 20:00:00,1970-01-01 00:00:00,Theaterzaal,5525
2006-10-10 20:00:00,1970-01-01 00:00:00,Ticketbalie,5629
2006-10-10 21:00:00,2006-10-10 00:00:00,Mokabon,5633
2006-10-10 21:00:00,2006-10-10 00:00:00,Dansstudio,5635
2006-10-10 21:00:00,2006-10-10 00:00:00,Antiekzolder,5637
2006-10-10 21:00:00,2006-10-10 00:00:00,Zolder,5639
2006-10-10 21:00:00,2006-10-10 00:00:00,Naaikamertje,5641
2006-10-10 21:00:00,2006-10-10 00:00:00,Foyer Domzaal,5643
2006-10-11 14:00:00,1970-01-01 00:00:00,Vooruit,5677
2006-10-11 18:00:00,2006-10-11 00:00:00,Mokabon,5633
2006-10-11 18:00:00,2006-10-11 00:00:00,Dansstudio,5635
2006-10-11 18:00:00,2006-10-11 00:00:00,Antiekzolder,5637
2006-10-11 18:00:00,2006-10-11 00:00:00,Zolder,5639
2006-10-11 18:00:00,2006-10-11 00:00:00,Naaikamertje,5641
2006-10-11 18:00:00,2006-10-11 00:00:00,Foyer Domzaal,5643
2006-10-11 18:00:00,1970-01-01 00:00:00,Vooruit,5677
2006-10-11 20:30:00,1970-01-01 00:00:00,Theaterzaal,5625
2006-10-11 22:00:00,1970-01-01 00:00:00,Balzaal,5627
2006-10-12 18:00:00,2006-10-12 00:00:00,Mokabon,5633
2006-10-12 18:00:00,2006-10-12 00:00:00,Dansstudio,5635
2006-10-12 18:00:00,2006-10-12 00:00:00,Antiekzolder,5637
2006-10-12 18:00:00,2006-10-12 00:00:00,Zolder,5639
2006-10-12 18:00:00,2006-10-12 00:00:00,Naaikamertje,5641
2006-10-12 18:00:00,2006-10-12 00:00:00,Foyer Domzaal,5643
2006-10-12 18:00:00,1970-01-01 00:00:00,Vooruit,5677
2006-10-12 19:30:00,1970-01-01 00:00:00,Foyer Theaterzaal ,5653
2006-10-12 20:30:00,1970-01-01 00:00:00,"NTGent, Sint-Baafsplein 17",5557
2006-10-12 20:30:00,1970-01-01 00:00:00,Theaterzaal,5657
2006-10-12 20:30:00,1970-01-01 00:00:00,Domzaal,5745
2006-10-12 21:00:00,1970-01-01 00:00:00,Foyer Theaterzaal ,5653
2006-10-12 22:30:00,1970-01-01 00:00:00,Domzaal,5737
2006-10-13 14:30:00,1970-01-01 00:00:00,Domzaal,5715
2006-10-13 17:00:00,1970-01-01 00:00:00,Domzaal,5741
2006-10-13 18:00:00,2006-10-13 00:00:00,Mokabon,5633
2006-10-13 18:00:00,2006-10-13 00:00:00,Dansstudio,5635
2006-10-13 18:00:00,2006-10-13 00:00:00,Antiekzolder,5637
2006-10-13 18:00:00,2006-10-13 00:00:00,Zolder,5639
2006-10-13 18:00:00,2006-10-13 00:00:00,Naaikamertje,5641
2006-10-13 18:00:00,2006-10-13 00:00:00,Foyer Domzaal,5643
2006-10-13 18:00:00,1970-01-01 00:00:00,Vooruit,5677
2006-10-13 19:30:00,1970-01-01 00:00:00,Foyer Theaterzaal ,5653
2006-10-13 20:00:00,1970-01-01 00:00:00,Theaterzaal,5659
2006-10-13 20:00:00,1970-01-01 00:00:00,Domzaal,5721
2006-10-13 20:30:00,1970-01-01 00:00:00,"NTGent, Sint-Baafsplein 17",5557
2006-10-13 20:30:00,1970-01-01 00:00:00,"S.M.A.K., Jan Hoetplein 1",5845
2006-10-13 21:00:00,1970-01-01 00:00:00,Balzaal,5645
2006-10-13 21:00:00,1970-01-01 00:00:00,Foyer Theaterzaal ,5653
2006-10-13 22:30:00,1970-01-01 00:00:00,Domzaal,5743
2006-10-14 14:00:00,1970-01-01 00:00:00,Vooruit,5677
2006-10-14 14:30:00,1970-01-01 00:00:00,Domzaal,5717
2006-10-14 14:30:00,1970-01-01 00:00:00,Domzaal,5733
2006-10-14 17:00:00,1970-01-01 00:00:00,Vooruit,5677
2006-10-14 17:00:00,1970-01-01 00:00:00,Domzaal,5745
2006-10-14 18:00:00,2006-10-14 00:00:00,Mokabon,5633
2006-10-14 18:00:00,2006-10-14 00:00:00,Dansstudio,5635
2006-10-14 18:00:00,2006-10-14 00:00:00,Antiekzolder,5637
2006-10-14 18:00:00,2006-10-14 00:00:00,Zolder,5639
2006-10-14 18:00:00,2006-10-14 00:00:00,Naaikamertje,5641
2006-10-14 18:00:00,2006-10-14 00:00:00,Foyer Domzaal,5643
2006-10-14 20:00:00,1970-01-01 00:00:00,Theaterzaal,5661
2006-10-14 20:00:00,1970-01-01 00:00:00,Domzaal,5715
2006-10-14 21:00:00,1970-01-01 00:00:00,Balzaal,5645
2006-10-14 21:00:00,1970-01-01 00:00:00,Foyer Theaterzaal ,5653
2006-10-14 22:00:00,1970-01-01 00:00:00,Concertzaal,5693
2006-10-14 22:30:00,1970-01-01 00:00:00,Domzaal,5723
2006-10-15 11:00:00,1970-01-01 00:00:00,Vooruit,5677
2006-10-15 14:00:00,1970-01-01 00:00:00,Café,5603
2006-10-15 14:00:00,2006-10-15 00:00:00,Mokabon,5633
2006-10-15 14:00:00,2006-10-15 00:00:00,Dansstudio,5635
2006-10-15 14:00:00,2006-10-15 00:00:00,Antiekzolder,5637
2006-10-15 14:00:00,2006-10-15 00:00:00,Zolder,5639
2006-10-15 14:00:00,2006-10-15 00:00:00,Naaikamertje,5641
2006-10-15 14:00:00,2006-10-15 00:00:00,Foyer Domzaal,5643
2006-10-15 14:30:00,1970-01-01 00:00:00,Domzaal,5739
2006-10-15 17:00:00,1970-01-01 00:00:00,Vooruit,5677
2006-10-15 17:00:00,1970-01-01 00:00:00,Domzaal,5731
2006-10-15 20:00:00,1970-01-01 00:00:00,Domzaal,5717
2006-10-15 20:00:00,1970-01-01 00:00:00,Theaterzaal,5729
2006-10-15 22:30:00,1970-01-01 00:00:00,Domzaal,5727
2006-10-16 14:30:00,1970-01-01 00:00:00,Domzaal,5713
2006-10-16 17:00:00,1970-01-01 00:00:00,Domzaal,5721
2006-10-16 18:00:00,2006-10-16 00:00:00,Mokabon,5633
2006-10-16 18:00:00,2006-10-16 00:00:00,Dansstudio,5635
2006-10-16 18:00:00,2006-10-16 00:00:00,Antiekzolder,5637
2006-10-16 18:00:00,2006-10-16 00:00:00,Zolder,5639
2006-10-16 18:00:00,2006-10-16 00:00:00,Naaikamertje,5641
2006-10-16 18:00:00,2006-10-16 00:00:00,Foyer Domzaal,5643
2006-10-16 20:00:00,1970-01-01 00:00:00,Theaterzaal,5665
2006-10-16 20:00:00,1970-01-01 00:00:00,Domzaal,5727
2006-10-16 21:00:00,1970-01-01 00:00:00,Balzaal,5647
2006-10-16 22:00:00,1970-01-01 00:00:00,Café,5663
2006-10-16 22:30:00,1970-01-01 00:00:00,Domzaal,5733
2006-10-17 17:00:00,1970-01-01 00:00:00,Domzaal,5743
2006-10-17 17:30:00,1970-01-01 00:00:00,Vooruit,5677
2006-10-17 18:00:00,2006-10-17 00:00:00,Mokabon,5633
2006-10-17 18:00:00,2006-10-17 00:00:00,Dansstudio,5635
2006-10-17 18:00:00,2006-10-17 00:00:00,Antiekzolder,5637
2006-10-17 18:00:00,2006-10-17 00:00:00,Zolder,5639
2006-10-17 18:00:00,2006-10-17 00:00:00,Naaikamertje,5641
2006-10-17 18:00:00,2006-10-17 00:00:00,Foyer Domzaal,5643
2006-10-17 20:00:00,1970-01-01 00:00:00,Balzaal,5579
2006-10-17 20:00:00,1970-01-01 00:00:00,Ticketbalie,5631
2006-10-17 20:00:00,1970-01-01 00:00:00,Theaterzaal,5667
